,origin,destination,count
16424,60750176022.,60750206021.,1
16423,60750176022.,60750206012.,1
16422,60750176022.,60750206011.,1
16420,60750176022.,60750203003.,1
16419,60750176022.,60750203001.,1
16418,60750176022.,60750202022.,1
16417,60750176022.,60750202021.,1
16414,60750176022.,60750201011.,1
16413,60750176022.,60750180004.,1
16403,60750176022.,60750176043.,1
16429,60750176022.,60750208021.,1
16402,60750176022.,60750176042.,1
16401,60750176022.,60750176034.,1
16397,60750176022.,60750171023.,1
16396,60750176022.,60750170003.,1
16395,60750176022.,60750169002.,1
16394,60750176022.,60750168023.,1
16393,60750176022.,60750168021.,1
16392,60750176022.,60750168011.,1
16390,60750176022.,60750167002.,1
16389,60750176022.,60750166021.,1
16388,60750176022.,60750166012.,1
16428,60750176022.,60750208012.,1
16430,60750176022.,60750208022.,1
16643,60750176023.,60750229022.,1
16449,60750176022.,60750232002.,1
16461,60750176022.,60750301021.,1
16460,60750176022.,60750264022.,1
16459,60750176022.,60750262013.,1
16458,60750176022.,60750262012.,1
16457,60750176022.,60750260022.,1
16456,60750176022.,60750260014.,1
16455,60750176022.,60750260012.,1
16453,60750176022.,60750255022.,1
16452,60750176022.,60750254012.,1
16451,60750176022.,60750253001.,1
16450,60750176022.,60750251002.,1
16448,60750176022.,60750229031.,1
16431,60750176022.,60750209001.,1
16444,60750176022.,60750228021.,1
16442,60750176022.,60750228011.,1
16441,60750176022.,60750227041.,1
16440,60750176022.,60750226002.,1
16439,60750176022.,60750226001.,1
16438,60750176022.,60750218001.,1
16437,60750176022.,60750211001.,1
16436,60750176022.,60750210003.,1
16435,60750176022.,60750210002.,1
16433,60750176022.,60750209004.,1
16432,60750176022.,60750209002.,1
16384,60750176022.,60750163002.,1
16383,60750176022.,60750162003.,1
16382,60750176022.,60750161022.,1
16318,60750176021.,60750614022.,1
16337,60750176022.,60750109021.,1
16336,60750176022.,60750109012.,1
16335,60750176022.,60750108002.,1
16334,60750176022.,60750107021.,1
16333,60750176022.,60750107012.,1
16330,60750176022.,60750106001.,1
16329,60750176022.,60750105003.,1
16328,60750176022.,60750105002.,1
16326,60750176022.,60750103001.,1
16325,60750176022.,60750101021.,1
16321,60750176021.,60750615013.,1
16316,60750176021.,60750607032.,1
16381,60750176022.,60750161011.,1
16315,60750176021.,60750607031.,1
16314,60750176021.,60750607013.,1
16313,60750176021.,60750605022.,1
16312,60750176021.,60750601002.,1
16311,60750176021.,60750259002.,1
16310,60750176021.,60750255023.,1
16309,60750176021.,60750255022.,1
16308,60750176021.,60750211001.,1
16307,60750176021.,60750208022.,1
16305,60750176021.,60750203003.,1
16304,60750176021.,60750202022.,1
16338,60750176022.,60750110021.,1
16340,60750176022.,60750111012.,1
16342,60750176022.,60750111022.,1
16343,60750176022.,60750112002.,1
16380,60750176022.,60750160002.,1
16379,60750176022.,60750159004.,1
16378,60750176022.,60750157022.,1
16376,60750176022.,60750157011.,1
16375,60750176022.,60750156002.,1
16374,60750176022.,60750156001.,1
16373,60750176022.,60750155004.,1
16372,60750176022.,60750152021.,1
16371,60750176022.,60750151003.,1
16370,60750176022.,60750151001.,1
16369,60750176022.,60750132001.,1
16368,60750176022.,60750131022.,1
16365,60750176022.,60750128012.,1
16364,60750176022.,60750125041.,1
16361,60750176022.,60750125024.,1
16359,60750176022.,60750124043.,1
16357,60750176022.,60750123024.,1
16351,60750176022.,60750120022.,1
16350,60750176022.,60750120021.,1
16349,60750176022.,60750119022.,1
16348,60750176022.,60750119012.,1
16346,60750176022.,60750117002.,1
16345,60750176022.,60750117001.,1
16462,60750176022.,60750302022.,1
16464,60750176022.,60750308004.,1
16465,60750176022.,60750310002.,1
16577,60750176023.,60750168011.,1
16606,60750176023.,60750202022.,1
16604,60750176023.,60750201023.,1
16602,60750176023.,60750201012.,1
16599,60750176023.,60750180003.,1
16597,60750176023.,60750180001.,1
16595,60750176023.,60750178044.,1
16587,60750176023.,60750176043.,1
16586,60750176023.,60750176041.,1
16582,60750176023.,60750176021.,1
16581,60750176023.,60750171013.,1
16578,60750176023.,60750168012.,1
16576,60750176023.,60750167001.,1
16558,60750176023.,60750151002.,1
16573,60750176023.,60750165003.,1
16572,60750176023.,60750164003.,1
16571,60750176023.,60750163004.,1
16570,60750176023.,60750163003.,1
16568,60750176023.,60750162002.,1
16567,60750176023.,60750161022.,1
16565,60750176023.,60750157012.,1
16564,60750176023.,60750156002.,1
16563,60750176023.,60750155004.,1
16561,60750176023.,60750153002.,1
16560,60750176023.,60750152022.,1
16607,60750176023.,60750202023.,1
16608,60750176023.,60750203001.,1
