,A,B,Distance
313,738295.0,394249.0,1888880.248950868
314,738295.0,453866.0,1142262.7537338948
315,738295.0,485100.0,1542201.2518437807
316,738295.0,564042.0,1545320.3254284838
317,738295.0,620523.0,1158747.656569428
318,738295.0,657479.0,1312757.0581566659
319,738295.0,715029.0,1338279.0642263035
320,738295.0,717276.0,1267540.6657982988
321,738295.0,722114.0,1290227.228631209
322,738295.0,747857.0,1172995.6266145809
323,738295.0,772649.0,1245876.0174854815
324,738295.0,821899.0,5817885.325991136
325,738295.0,839469.0,952523.4306710268
326,738295.0,869156.0,1514910.9099176256
327,738295.0,881294.0,1216446.4393854905
328,738295.0,904330.0,1289698.0094602345
329,738295.0,907466.0,997848.2960069547
330,747857.0,6773.0,1130931.6696735632
331,747857.0,151125.0,1234305.3991608035
332,747857.0,198441.0,1275590.0605477467
333,747857.0,282354.0,1064213.1863738033
334,747857.0,326349.0,1245913.9536803088
335,747857.0,394249.0,1941469.5253330257
336,747857.0,453866.0,1159393.1485481183
337,747857.0,485100.0,1556877.0203270472
338,747857.0,564042.0,1534361.809851957
339,747857.0,620523.0,1138045.1670287433
340,747857.0,657479.0,1266084.464090239
341,747857.0,715029.0,1315050.7221453558
342,747857.0,717276.0,1206078.8633433986
343,747857.0,722114.0,1270111.0020097296
344,747857.0,738295.0,1172995.626614581
345,747857.0,772649.0,1186378.5077282484
346,747857.0,821899.0,5759428.99241724
347,747857.0,839469.0,942297.7704888835
348,747857.0,869156.0,1500235.0849306195
349,747857.0,881294.0,1164376.4139562927
350,747857.0,904330.0,1249094.5268937168
351,747857.0,907466.0,961022.071616676
352,772649.0,6773.0,1155833.3720739533
353,772649.0,151125.0,1260647.6766497719
354,772649.0,198441.0,1362162.9286961732
355,772649.0,282354.0,1131589.8946915993
356,772649.0,326349.0,1311468.5062771293
357,772649.0,394249.0,2008885.7222903925
358,772649.0,453866.0,1234436.6361755794
359,772649.0,485100.0,1610121.342210845
360,772649.0,564042.0,1596404.2573932365
361,772649.0,620523.0,1221750.3101171888
362,772649.0,657479.0,1322070.4775699542
363,772649.0,715029.0,1392440.39811509
364,772649.0,717276.0,1230218.1745904514
365,772649.0,722114.0,1317286.376834992
366,772649.0,738295.0,1245876.0174854835
367,772649.0,747857.0,1186378.5077282502
368,772649.0,821899.0,6100298.00094496
369,772649.0,839469.0,960654.8021273424
370,772649.0,869156.0,1558960.1538791803
371,772649.0,881294.0,1189789.0507621896
372,772649.0,904330.0,1260703.6784573984
373,772649.0,907466.0,980969.2533549145
374,821899.0,6773.0,5684164.036975717
375,821899.0,151125.0,6232225.894318977
376,821899.0,198441.0,6407785.605326802
377,821899.0,282354.0,5491391.0533053
378,821899.0,326349.0,6443633.06075004
379,821899.0,394249.0,9303824.918605084
380,821899.0,453866.0,5702207.408831483
381,821899.0,485100.0,7484059.190086035
382,821899.0,564042.0,7583634.346935228
383,821899.0,620523.0,5765932.844337614
384,821899.0,657479.0,6395615.944609961
385,821899.0,715029.0,6637102.7718833955
386,821899.0,717276.0,6172398.096656342
387,821899.0,722114.0,6239025.436725298
388,821899.0,738295.0,5817885.325991124
389,821899.0,747857.0,5759428.992417248
390,821899.0,772649.0,6100298.000944965
391,821899.0,839469.0,4703154.944937786
392,821899.0,869156.0,7345302.577836562
393,821899.0,881294.0,5953186.899543716
394,821899.0,904330.0,6210960.292196429
395,821899.0,907466.0,4850916.92368322
396,839469.0,6773.0,896939.740673965
397,839469.0,151125.0,982732.6475917348
398,839469.0,198441.0,1048176.448154326
399,839469.0,282354.0,904606.2409925334
400,839469.0,326349.0,1050838.0719012625
401,839469.0,394249.0,1488948.4671862253
402,839469.0,453866.0,937715.7620238932
403,839469.0,485100.0,1211798.3446946861
404,839469.0,564042.0,1218328.0383337045
405,839469.0,620523.0,950301.1504812726
406,839469.0,657479.0,1030105.214766127
407,839469.0,715029.0,1079834.9686223816
408,839469.0,717276.0,978396.3928682156
409,839469.0,722114.0,1011621.4912439906
410,839469.0,738295.0,952523.4306710268
411,839469.0,747857.0,942297.7704888834
412,839469.0,772649.0,960654.8021273426
413,839469.0,821899.0,4703154.944937802
414,839469.0,869156.0,1192168.2887743723
415,839469.0,881294.0,937204.0251572594
416,839469.0,904330.0,978496.2176785604
417,839469.0,907466.0,772600.263401202
418,869156.0,6773.0,1448283.4597042582
419,869156.0,151125.0,1576942.3060235905
420,869156.0,198441.0,1678201.3431250078
421,869156.0,282354.0,1439121.7631656805
422,869156.0,326349.0,1672928.964478555
423,869156.0,394249.0,2296925.5756660583
424,869156.0,453866.0,1489319.9559101108
425,869156.0,485100.0,1878072.0888752742
426,869156.0,564042.0,1896637.535627986
427,869156.0,620523.0,1523571.0488636217
428,869156.0,657479.0,1615344.1568626424
429,869156.0,715029.0,1720476.9121237793
430,869156.0,717276.0,1573293.2483654737
431,869156.0,722114.0,1579262.6238524152
432,869156.0,738295.0,1514910.9099176268
433,869156.0,747857.0,1500235.0849306204
434,869156.0,772649.0,1558960.1538791792
435,869156.0,821899.0,7345302.577836543
436,869156.0,839469.0,1192168.288774373
437,869156.0,881294.0,1509782.4753747655
438,869156.0,904330.0,1545661.904672745
